id;weight;ingredient_id;recipe_id
639;5;52;77
640;45;8;77
641;100;96;77
642;10;48;77
643;10;14;78
644;30;8;78
645;1000;7;78
646;200;2;78
647;150;3;78
648;500;10;78
649;150;23;78
650;25;52;79
651;20;81;79
652;50;65;79
653;150;4;79
654;50;14;79
655;200;10;79
656;300;9;79
657;1500;7;79
658;200;7;79
659;10;14;80
660;300;2;80
661;3;106;80
662;20;48;80
663;10;52;80
664;10;11;80
665;100;65;80
666;60;50;80
667;100;4;80
668;100;3;80
669;500;10;80
670;50;63;80
671;3000;7;80
672;2;51;81
673;3;48;81
674;3;21;81
675;1;4;81
676;2;14;81
677;3;6;81
678;75;3;81
679;150;4;81
680;150;107;81
681;700;7;81
682;2;21;82
683;100;20;82
684;500;0;82
685;75;4;82
686;160;31;82
687;3;48;82
688;1500;7;82
689;80;3;82
690;1;14;82
691;1;6;82
692;300;1;83
693;3000;7;83
694;10;34;83
695;10;48;83
696;100;4;83
697;250;32;83
698;100;3;83
699;300;12;83
700;150;30;84
701;70;108;84
702;3;109;85
703;500;7;85
704;5;8;85
705;60;4;85
706;250;53;85
707;100;12;85
708;70;30;86
709;40;3;86
